Chapter,Case / Source Cluster,Role,Main Claim Supported,CALM Lens,Risk / Overclaim Guard,Source Need
1,NASA Challenger/Columbia,Analogy,Technical organizations can normalize representation-risk gaps,Reflexivity Defense; Claim Drift,Analogy only; not direct defense evidence,Official reports
1,SIGAR / Afghanistan,Primary anchor,Progress representations can diverge from strategic validity and institutional learning,Claim Engine; Shadow Ledger; Lesson-to-Claim Conversion,Do not generalize to all defense reporting; use official findings,Direct SIGAR PDFs and page extraction
10,Ukraine Adaptation,Countercase/current,Rapid learning and diffusion matter under adversary pressure,Learning Mobility; Second Valid Use,Avoid sensitive operational detail; keep current,RUSI/NATO/CSIS/SIPRI
11,F-35 Sustainment,Primary anchor,"Advanced platform claims remain bounded by sustainment, spares, software, and readiness realities",Sustainment as Truth; Validity Boundary,Do not call aircraft failed; separate capability from support constraints,GAO/DOT&E/CRS packet
11,LCS,Primary anchor,Multiple partial claims can combine into whole-program fragility,Claim Stack; Sustainment; Category Machine,Avoid simplistic 'failure' label without nuance,CRS/GAO/DOT&E
12,Future Combat Systems,Primary anchor,"System-of-systems ambition can exceed integration, requirements, and technology maturity",Validity Load; Category Machine,Do not imply future-oriented programs are inherently wrong,RAND PDF
12,JADC2/CJADC2,Live stress-test,"Interoperability and speed claims require data, authority, cyber, and coalition conditions",Boundary Integrity; Interoperability Without Theater,"Treat as live challenge, not failure case","DoD strategy, GAO/CRS"
12,MRAP,Countercase,"Speed can be valid when need, evidence, authority, and delivery align",Countercase; Rapid Fielding,Include cost/sustainment nuance,GAO/DoD
12,Ukraine Adaptation,Countercase/current,Rapid learning and diffusion matter under adversary pressure,Learning Mobility; Second Valid Use,Avoid sensitive operational detail; keep current,RUSI/NATO/CSIS/SIPRI
13,Pat Tillman,Human-cost case,Public narrative can diverge from operational truth after tragedy,Claim Engine; Public Narrative Boundary,Protect family/casualty ethics,DoD IG/Army/Congress
13,SIGAR / Afghanistan,Primary anchor,Progress representations can diverge from strategic validity and institutional learning,Claim Engine; Shadow Ledger; Lesson-to-Claim Conversion,Do not generalize to all defense reporting; use official findings,Direct SIGAR PDFs and page extraction
14,NASA Challenger/Columbia,Analogy,Technical organizations can normalize representation-risk gaps,Reflexivity Defense; Claim Drift,Analogy only; not direct defense evidence,Official reports
14,SIGIR / Wartime Contracting,Primary anchor,Contracting and reconstruction can diffuse accountability and hide sustainment/oversight failures,Consequence Trail; Ownership; Sustainment,Avoid anti-contractor polemic; source all facts,SIGIR and Commission PDFs
17,SIGIR / Wartime Contracting,Primary anchor,Contracting and reconstruction can diffuse accountability and hide sustainment/oversight failures,Consequence Trail; Ownership; Sustainment,Avoid anti-contractor polemic; source all facts,SIGIR and Commission PDFs
18,SIGAR / Afghanistan,Primary anchor,Progress representations can diverge from strategic validity and institutional learning,Claim Engine; Shadow Ledger; Lesson-to-Claim Conversion,Do not generalize to all defense reporting; use official findings,Direct SIGAR PDFs and page extraction
19,NASA Challenger/Columbia,Analogy,Technical organizations can normalize representation-risk gaps,Reflexivity Defense; Claim Drift,Analogy only; not direct defense evidence,Official reports
24,Ukraine Adaptation,Countercase/current,Rapid learning and diffusion matter under adversary pressure,Learning Mobility; Second Valid Use,Avoid sensitive operational detail; keep current,RUSI/NATO/CSIS/SIPRI
26,737 MAX,Analogy,"Automation claims require human role, training, certification, failure mode clarity",Human Role Boundary; AI/automation,Civil aviation analogy only,House/FAA/NTSB
26,Project Maven / Defense AI,Primary AI anchor,"AI labels require task, data, model, human role, accountability, and public legitimacy boundaries",AI Without Aura; Warrant Accounting,Avoid classified inference,Official DoD + public reporting
27,JADC2/CJADC2,Live stress-test,"Interoperability and speed claims require data, authority, cyber, and coalition conditions",Boundary Integrity; Interoperability Without Theater,"Treat as live challenge, not failure case","DoD strategy, GAO/CRS"
28,Future Combat Systems,Primary anchor,"System-of-systems ambition can exceed integration, requirements, and technology maturity",Validity Load; Category Machine,Do not imply future-oriented programs are inherently wrong,RAND PDF
28,LCS,Primary anchor,Multiple partial claims can combine into whole-program fragility,Claim Stack; Sustainment; Category Machine,Avoid simplistic 'failure' label without nuance,CRS/GAO/DOT&E
29,F-35 Sustainment,Primary anchor,"Advanced platform claims remain bounded by sustainment, spares, software, and readiness realities",Sustainment as Truth; Validity Boundary,Do not call aircraft failed; separate capability from support constraints,GAO/DOT&E/CRS packet
29,SIGIR / Wartime Contracting,Primary anchor,Contracting and reconstruction can diffuse accountability and hide sustainment/oversight failures,Consequence Trail; Ownership; Sustainment,Avoid anti-contractor polemic; source all facts,SIGIR and Commission PDFs
3,F-35 Sustainment,Primary anchor,"Advanced platform claims remain bounded by sustainment, spares, software, and readiness realities",Sustainment as Truth; Validity Boundary,Do not call aircraft failed; separate capability from support constraints,GAO/DOT&E/CRS packet
31,MRAP,Countercase,"Speed can be valid when need, evidence, authority, and delivery align",Countercase; Rapid Fielding,Include cost/sustainment nuance,GAO/DoD
4,LCS,Primary anchor,Multiple partial claims can combine into whole-program fragility,Claim Stack; Sustainment; Category Machine,Avoid simplistic 'failure' label without nuance,CRS/GAO/DOT&E
5,JADC2/CJADC2,Live stress-test,"Interoperability and speed claims require data, authority, cyber, and coalition conditions",Boundary Integrity; Interoperability Without Theater,"Treat as live challenge, not failure case","DoD strategy, GAO/CRS"
6,737 MAX,Analogy,"Automation claims require human role, training, certification, failure mode clarity",Human Role Boundary; AI/automation,Civil aviation analogy only,House/FAA/NTSB
6,Project Maven / Defense AI,Primary AI anchor,"AI labels require task, data, model, human role, accountability, and public legitimacy boundaries",AI Without Aura; Warrant Accounting,Avoid classified inference,Official DoD + public reporting
7,Future Combat Systems,Primary anchor,"System-of-systems ambition can exceed integration, requirements, and technology maturity",Validity Load; Category Machine,Do not imply future-oriented programs are inherently wrong,RAND PDF
7,LCS,Primary anchor,Multiple partial claims can combine into whole-program fragility,Claim Stack; Sustainment; Category Machine,Avoid simplistic 'failure' label without nuance,CRS/GAO/DOT&E
8,SIGAR / Afghanistan,Primary anchor,Progress representations can diverge from strategic validity and institutional learning,Claim Engine; Shadow Ledger; Lesson-to-Claim Conversion,Do not generalize to all defense reporting; use official findings,Direct SIGAR PDFs and page extraction
8,SIGIR / Wartime Contracting,Primary anchor,Contracting and reconstruction can diffuse accountability and hide sustainment/oversight failures,Consequence Trail; Ownership; Sustainment,Avoid anti-contractor polemic; source all facts,SIGIR and Commission PDFs
9,507th Maintenance Company,Human-cost case,Mission/communication assumptions can reach operators under pressure,Human Boundary; Mission Claim,Ethical handling; no invented thoughts,Official Army report
9,Pat Tillman,Human-cost case,Public narrative can diverge from operational truth after tragedy,Claim Engine; Public Narrative Boundary,Protect family/casualty ethics,DoD IG/Army/Congress
9,Tongo Tongo,Human-cost case,Mission risk and operational assumptions can change faster than representation,Expiration Trigger; Consequence Trail,No classified inference; no motive claims,DoD report
9,Wanat,Human-cost case,Outpost/force posture assumptions can carry human consequences,Validity Boundary; Consequence Trail,Avoid overassigning blame,CSI/Army report
