id,lean_name,declaration_kind,file,line,module,informal_statement,formal_role,depth_class,risk_class,depends_on_warrant,warrant_id,uses_countermodel,has_python_checker,checker_name,real_world_usefulness,public_claim_allowed,public_claim_forbidden,notes
TD-001,ISF_to_Uses,theorem,src/Paralogic/Theorems.lean,9,Theorems,ISF projects to Uses,definition projection,D0_DEF_EQ_PROJECTION,R1_SAFE_BUT_LOW_DEPTH,false,,false,false,,medium,Selected implication is Lean-checked,Substantive theorem depth,Useful but low-depth projection
TD-002,M8_does_not_imply_harm,theorem,src/Paralogic/Theorems.lean,52,Theorems,M8 does not imply harm,countermodel,D2_COUNTERMODEL,R2_BOUNDARY_DEPENDENT,false,,true,true,finite_check.py,high,M8 non-collapse is checked in finite scope,M8 proves no harm globally,Blocks unsafe public inference
TD-003,ValidInsight_does_not_imply_empiricalTruth,theorem,src/Paralogic/Theorems.lean,72,Theorems,ValidInsight does not imply empirical truth,countermodel,D2_COUNTERMODEL,R2_BOUNDARY_DEPENDENT,false,,true,true,finite_check.py,high,ValidInsight non-collapse is checked in finite scope,ValidInsight proves empirical truth,Core claim-discipline result
TD-004,derives_modus_ponens_example_sound,theorem,src/Paralogic/ProofTheory.lean,88,ProofTheory,Modus ponens example is semantically sound,soundness instance,D5_SOUNDNESS_OR_META,R0_SAFE_FOUNDATIONAL,false,,false,true,propositional_proof_check.py,medium,Scoped proof rule soundness is checked,Complete proof theory,Meta-theoretic fragment
TD-005,derives_forall_intro_of_fresh_sound,theorem,src/Paralogic/ProofTheory.lean,254,ProofTheory,Universal intro under freshness is sound,guarded quantifier soundness,D5_SOUNDNESS_OR_META,R0_SAFE_FOUNDATIONAL,false,,false,false,,high,Freshness-guarded rule is checked,Full quantified completeness,Blocks unsafe quantifier rule
TD-006,universal_intro_without_freshness_not_semantically_valid,theorem,src/Paralogic/ManySortedCountermodels.lean,173,ManySortedCountermodels,Unrestricted universal intro fails,countermodel,D2_COUNTERMODEL,R2_BOUNDARY_DEPENDENT,false,,true,false,,high,Unsafe universal intro is blocked,All universal intro is invalid,Line may shift; see source
TD-007,ModelIso_full_formula_satisfaction_iff,theorem,src/Paralogic/FrameContext.lean,314,FrameContext,Model isomorphism preserves and reflects full formula satisfaction,isomorphism theorem,D4_SUBSTANTIVE_FORMAL,R0_SAFE_FOUNDATIONAL,false,,false,false,,medium,Selected model-isomorphism result is checked,Complete model theory,Substantive over formula recursion
TD-008,model_hom_not_preserve_negation_counterexample,theorem,src/Paralogic/NonPreservation.lean,93,NonPreservation,Model homomorphisms need not preserve negation,non-preservation countermodel,D2_COUNTERMODEL,R2_BOUNDARY_DEPENDENT,false,,true,false,,high,Negation preservation is blocked,Homomorphisms preserve all formulas,Model-theory boundary
TD-009,delta_reachable_closed,theorem,src/Paralogic/DeltaDynamics.lean,35,DeltaDynamics,Reachability is transition-closed,structural theorem,D4_SUBSTANTIVE_FORMAL,R1_SAFE_BUT_LOW_DEPTH,false,,false,true,delta_check.py,medium,Delta reachability property is checked,Full Delta theory,Useful for transition audits
TD-010,rankedRepair_has_unique_minimal,theorem,src/Paralogic/MinimalRepair.lean,186,MinimalRepair,Ranked repair frame has unique minimal repair,finite repair witness,D4_SUBSTANTIVE_FORMAL,R2_BOUNDARY_DEPENDENT,false,,false,true,repair_revision_check.py,medium,Finite repair fragment checked,Real repair solved,Finite frame only
TD-011,operational_warrant_coverage_complete,theorem,src/Paralogic/WarrantDischarge.lean,1366,WarrantDischarge,Enumerated obligations are operationally discharged,operational schema,D6_OPERATIONAL_SCHEMA,R3_WARRANT_CONDITIONAL,true,W-OPERATIONAL-COVERAGE,false,true,warrant_coverage_check.py,high,Operational coverage over enumerated obligations,Empirical validation,Not source-backed
TD-012,operational_core_ne_empirically_validated,theorem,src/Paralogic/WarrantDischarge.lean,1377,WarrantDischarge,Operational core is not empirical validation,guard theorem,D6_OPERATIONAL_SCHEMA,R6_EMPIRICAL_MISSING,true,W-EMPIRICAL-SEPARATION,false,true,warrant_coverage_check.py,high,Operational/empirical separation is checked,Operational discharge is empirical validation,Key anti-overclaim guard
TD-013,allISFTMechanisms_no_duplicates,theorem,src/Paralogic/MechanismSynthesis.lean,214,MechanismSynthesis,All mechanism labels are listed without duplicates,coverage bookkeeping,D3_EXECUTABLE_CHECK_LINKED,R4_BOUNDED_ONLY,false,,false,true,mechanism_coverage_check.py,low,Candidate coverage bookkeeping is checked,Mechanism semantics complete,Bookkeeping not depth
TD-014,SymbolicOverloadProfile_to_supportDegraded,theorem,src/Paralogic/SymbolicOverload.lean,57,SymbolicOverload,Satisfied M11 profile projects to support degradation,profile projection,D0_DEF_EQ_PROJECTION,R3_WARRANT_CONDITIONAL,true,W-M11-SUPPLIED,false,true,symbolic_overload_check.py,medium,M11 profile projection is checked,M11 is source-backed or empirical,Supplied field projection
