warrant_id,name,file,line,formal_object,conclusion_enabled,warrant_class,operational_status,source_backed_status,empirical_status,external_review_status,is_primitive,is_derived,is_assumed_field,negative_controls_present,real_world_usefulness,promotion_requirements,unsafe_claim_blocked,notes
W-ISF-SUPPORT,ISF support degradation,src/Paralogic/ISFT.lean,9,ISF.supportDegraded,ISF includes support degradation,W2_SUPPLIED_FIELD,not operational source-wide,not source-backed,not empirical,not reviewed,false,false,true,true,medium,derive or source support relation,ISF proves real-world failure,Internal field
W-M8-POWER,M8 power conditions,src/Paralogic/M8Power.lean,14,M8PowerProfile,M8Sem,W2_SUPPLIED_FIELD,partly operational in WarrantDischarge,not source-backed,not empirical,not reviewed,false,false,true,true,high,external power theory and cases,M8 proves harm or illegality,Core overclaim risk
W-EVALUATOR-ACCEPTS,Evaluator acceptance criteria,src/Paralogic/Evaluator.lean,43,EvaluatorCriteriaProfile,EvaluatorAcceptsSem,W2_SUPPLIED_FIELD,operational example exists,not source-backed,not empirical,not reviewed,false,false,true,true,high,criteria source and reliability,Evaluator acceptance proves truth,Claim-boundary central
W-EMPIRICAL-FULL,Full empirical validation,src/Paralogic/EmpiricalValidation.lean,13,EmpiricalValidationProtocol,FullEmpiricalValidationSem,W3_OPERATIONALLY_DISCHARGED,protocol-level operational,not source-backed,not empirical,not reviewed,false,true,false,true,high,data reliability validity replication,Protocol equals validation,Operational only
W-NORMATIVE-BRIDGE,Normative bridge,src/Paralogic/NormativeBridge.lean,52,NormativeBridgeSchema,normative conclusions,W2_SUPPLIED_FIELD,operational token model exists,not source-backed,not empirical,not reviewed,false,false,true,true,high,external standards and facts,Formal predicate proves guilt harm legality,High-risk bridge
W-REPAIR-OBLIGATION,Repair obligation bridge,src/Paralogic/Repair.lean,13,RepairDiagnosis,RepairObligationBridgeSem,W2_SUPPLIED_FIELD,operational example exists,not source-backed,not empirical,not reviewed,false,false,true,true,high,domain repair standard and verification,Repair obligation proven in real world,Scope-bound
W-OPERATIONAL-COVERAGE,Operational warrant coverage,src/Paralogic/WarrantDischarge.lean,1355,OperationalWarrantCoverageComplete,enumerated operational status,W3_OPERATIONALLY_DISCHARGED,operationally discharged,not source-backed,not empirical,not reviewed,false,true,false,true,high,source/empirical/review promotion,Operational coverage equals validation,Enumerated obligations only
W-EMPIRICAL-SEPARATION,Operational vs empirical guard,src/Paralogic/WarrantDischarge.lean,1377,operational_core_ne_empirically_validated,blocks empirical promotion,W4_COUNTERMODEL_GUARDED,guarded,not source-backed,not empirical,not reviewed,false,true,false,true,high,empirical evidence package,Operational discharge is empirical validation,Anti-overclaim theorem
W-M2-SUPPLIED,Metric proxy profile warrant,src/Paralogic/MetricProxy.lean,22,MetricProxyProfile.warrantSupportDegraded,SupportDegradedSem,W2_SUPPLIED_FIELD,profile projection only,not source-backed,not empirical,not reviewed,false,false,true,true,medium,source and cases,Metric improvement proves value improvement,Checker verifies shape
W-M11-SUPPLIED,Symbolic overload profile warrant,src/Paralogic/SymbolicOverload.lean,22,SymbolicOverloadProfile.warrantSupportDegraded,SupportDegradedSem,W2_SUPPLIED_FIELD,profile projection only,not source-backed,not empirical,not reviewed,false,false,true,true,medium,source and cases,Symbolic complexity proves failure,Checker verifies shape
